"image_id","reference_name","reference_path","width","height","source_tif","frame_index"
"60min_after_washout_frame_013","Trans","result_pic\from_source_tifs\references\Trans\60min after washout_frame_013_Trans.png","256","256","20240724_image processing project\60min after washout Trans_center.tif","13"
"60min_after_washout_frame_013","GFP projected","result_pic\from_source_tifs\references\GFP_projected\60min after washout_frame_013_GFP_projected.png","256","256","20240724_image processing project\60min after washout GFP_center.tif","13"
"60min_after_washout_frame_013","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\60min after washout_frame_013_mCherry_projected.png","256","256","20240724_image processing project\60min after washout_mCherry_center.tif","13"
"60min_after_washout_frame_014","Trans","result_pic\from_source_tifs\references\Trans\60min after washout_frame_014_Trans.png","256","256","20240724_image processing project\60min after washout Trans_center.tif","14"
"60min_after_washout_frame_014","GFP projected","result_pic\from_source_tifs\references\GFP_projected\60min after washout_frame_014_GFP_projected.png","256","256","20240724_image processing project\60min after washout GFP_center.tif","14"
"60min_after_washout_frame_014","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\60min after washout_frame_014_mCherry_projected.png","256","256","20240724_image processing project\60min after washout_mCherry_center.tif","14"
"60min_after_washout_frame_015","Trans","result_pic\from_source_tifs\references\Trans\60min after washout_frame_015_Trans.png","256","256","20240724_image processing project\60min after washout Trans_center.tif","15"
"60min_after_washout_frame_015","GFP projected","result_pic\from_source_tifs\references\GFP_projected\60min after washout_frame_015_GFP_projected.png","256","256","20240724_image processing project\60min after washout GFP_center.tif","15"
"60min_after_washout_frame_015","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\60min after washout_frame_015_mCherry_projected.png","256","256","20240724_image processing project\60min after washout_mCherry_center.tif","15"
"85min_after_washout_frame_000","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_000_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","0"
"85min_after_washout_frame_000","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_000_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","0"
"85min_after_washout_frame_000","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_000_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","0"
"85min_after_washout_frame_001","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_001_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","1"
"85min_after_washout_frame_001","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_001_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","1"
"85min_after_washout_frame_001","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_001_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","1"
"85min_after_washout_frame_002","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_002_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","2"
"85min_after_washout_frame_002","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_002_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","2"
"85min_after_washout_frame_002","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_002_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","2"
"85min_after_washout_frame_003","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_003_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","3"
"85min_after_washout_frame_003","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_003_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","3"
"85min_after_washout_frame_003","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_003_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","3"
"85min_after_washout_frame_004","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_004_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","4"
